SensorName,SensorPoint,Server
D143Watts,PV,sacramento.usc.edu
D142Watts,PV,sacramento.usc.edu
D163Watts,PV,sacramento.usc.edu
D104Watts,PV,sacramento.usc.edu
D105Watts,PV,sacramento.usc.edu
D106Watts,PV,sacramento.usc.edu
D165Watts,PV,sacramento.usc.edu
D166Watts,PV,sacramento.usc.edu
D164Watts,PV,sacramento.usc.edu
D39Watts,PV,sacramento.usc.edu
D176Watts,PV,sacramento.usc.edu
D31Watts,PV,sacramento.usc.edu
D32Watts,PV,sacramento.usc.edu
D52Watts,PV,sacramento.usc.edu
D118Watts,PV,sacramento.usc.edu
BIE_TotalWatts,PV,sacramento.usc.edu
D33Watts,PV,sacramento.usc.edu
D98Watts,PV,sacramento.usc.edu
D21Watts,PV,sacramento.usc.edu
D160Watts,PV,sacramento.usc.edu
CAL_TotalWatts,PV,sacramento.usc.edu
D360Watts,PV,sacramento.usc.edu
D361Watts,PV,sacramento.usc.edu
D80Watts,PV,sacramento.usc.edu
D218Watts,PV,sacramento.usc.edu
D149Watts,PV,sacramento.usc.edu
D148Watts,PV,sacramento.usc.edu
D35Watts,PV,sacramento.usc.edu
D34Watts,PV,sacramento.usc.edu
D45Watts,PV,sacramento.usc.edu
D46Watts,PV,sacramento.usc.edu
D77Watts,PV,sacramento.usc.edu
D27Watts,PV,sacramento.usc.edu
D15Watts,PV,sacramento.usc.edu
D88Watts,PV,sacramento.usc.edu
D210Watts,PV,sacramento.usc.edu
D137Watts,PV,sacramento.usc.edu
D53Watts,PV,sacramento.usc.edu
D51Watts,PV,sacramento.usc.edu
D75Watts,PV,sacramento.usc.edu
D58Watts,PV,sacramento.usc.edu
D301Watts,PV,sacramento.usc.edu
D356Watts,PV,sacramento.usc.edu
D81Watts,PV,sacramento.usc.edu
D158Watts,PV,sacramento.usc.edu
D84Watts,PV,sacramento.usc.edu
D69Watts,PV,sacramento.usc.edu
D68Watts,PV,sacramento.usc.edu
D107Watts,PV,sacramento.usc.edu
D38Watts,PV,sacramento.usc.edu
D351Watts,PV,sacramento.usc.edu
D59Watts,PV,sacramento.usc.edu
D120Watts,PV,sacramento.usc.edu
D153Watts,PV,sacramento.usc.edu
D133Watts,PV,sacramento.usc.edu
D64Watts,PV,sacramento.usc.edu
D119Watts,PV,sacramento.usc.edu
D162Watts,PV,sacramento.usc.edu
D177Watts,PV,sacramento.usc.edu
D44Watts,PV,sacramento.usc.edu
D103Watts,PV,sacramento.usc.edu
D16Watts,PV,sacramento.usc.edu
D184Watts,PV,sacramento.usc.edu
D11Watts,PV,sacramento.usc.edu
JEF_TotalWatts,PV,sacramento.usc.edu
D22Watts,PV,sacramento.usc.edu
D125Watts,PV,sacramento.usc.edu
D1Watts,PV,sacramento.usc.edu
D55Watts,PV,sacramento.usc.edu
D54Watts,PV,sacramento.usc.edu
D303Watts,PV,sacramento.usc.edu
D304Watts,PV,sacramento.usc.edu
D302Watts,PV,sacramento.usc.edu
D9Watts,PV,sacramento.usc.edu
D284Watts,PV,sacramento.usc.edu
D140Watts,PV,sacramento.usc.edu
D139Watts,PV,sacramento.usc.edu
D145Watts,PV,sacramento.usc.edu
D144Watts,PV,sacramento.usc.edu
D37Watts,PV,sacramento.usc.edu
D2Watts,PV,sacramento.usc.edu
D65Watts,PV,sacramento.usc.edu
D36Watts,PV,sacramento.usc.edu
D76Watts,PV,sacramento.usc.edu
D3Watts,PV,sacramento.usc.edu
D325Watts,PV,sacramento.usc.edu
D154Watts,PV,sacramento.usc.edu
D74Watts,PV,sacramento.usc.edu
D49Watts,PV,sacramento.usc.edu
D19Watts,PV,sacramento.usc.edu
D23Watts,PV,sacramento.usc.edu
D150Watts,PV,sacramento.usc.edu
D57Watts,PV,sacramento.usc.edu
D56Watts,PV,sacramento.usc.edu
D132Watts,PV,sacramento.usc.edu
D85Watts,PV,sacramento.usc.edu
D240Watts,PV,sacramento.usc.edu
D126Watts,PV,sacramento.usc.edu
D63Watts,PV,sacramento.usc.edu
D28Watts,PV,sacramento.usc.edu
D129Watts,PV,sacramento.usc.edu
D130Watts,PV,sacramento.usc.edu
D330Watts,PV,sacramento.usc.edu
D62Watts,PV,sacramento.usc.edu
D61Watts,PV,sacramento.usc.edu
D6Watts,PV,sacramento.usc.edu
D71Watts,PV,sacramento.usc.edu
D82Watts,PV,sacramento.usc.edu
D87Watts,PV,sacramento.usc.edu
D282Watts,PV,sacramento.usc.edu
D283Watts,PV,sacramento.usc.edu
D20Watts,PV,sacramento.usc.edu
D327Watts,PV,sacramento.usc.edu
D328Watts,PV,sacramento.usc.edu
D167Watts,PV,sacramento.usc.edu
D117Watts,PV,sacramento.usc.edu
D332Watts,PV,sacramento.usc.edu
D333Watts,PV,sacramento.usc.edu
D127Watts,PV,sacramento.usc.edu
D170Watts,PV,sacramento.usc.edu
D335Watts,PV,sacramento.usc.edu
D336Watts,PV,sacramento.usc.edu
D337Watts,PV,sacramento.usc.edu
D60Watts,PV,sacramento.usc.edu
D339Watts,PV,sacramento.usc.edu
D152Watts,PV,sacramento.usc.edu
D338Watts,PV,sacramento.usc.edu
D47Watts,PV,sacramento.usc.edu
D48Watts,PV,sacramento.usc.edu
D18Watts,PV,sacramento.usc.edu
D147Watts,PV,sacramento.usc.edu
D146Watts,PV,sacramento.usc.edu
D155Watts,PV,sacramento.usc.edu
D135Watts,PV,sacramento.usc.edu
D136Watts,PV,sacramento.usc.edu
D134Watts,PV,sacramento.usc.edu
D131Watts,PV,sacramento.usc.edu
D99Watts,PV,sacramento.usc.edu
D93Watts,PV,sacramento.usc.edu
D138Watts,PV,sacramento.usc.edu
D311Watts,PV,sacramento.usc.edu
D205Watts,PV,sacramento.usc.edu
D24Watts,PV,sacramento.usc.edu
D86Watts,PV,sacramento.usc.edu
D420Watts,PV,sacramento.usc.edu
D14Watts,PV,sacramento.usc.edu
D17Watts,PV,sacramento.usc.edu
D116Watts,PV,sacramento.usc.edu
D114Watts,PV,sacramento.usc.edu
D89Watts,PV,sacramento.usc.edu
D90Watts,PV,sacramento.usc.edu
D124Watts,PV,sacramento.usc.edu
D79Watts,PV,sacramento.usc.edu
D78Watts,PV,sacramento.usc.edu
D8Watts,PV,sacramento.usc.edu
D102Watts,PV,sacramento.usc.edu
D143Watts,PV,sacramento.usc.edu
D142Watts,PV,sacramento.usc.edu
D163Watts,PV,sacramento.usc.edu
D104Watts,PV,sacramento.usc.edu
D105Watts,PV,sacramento.usc.edu
D106Watts,PV,sacramento.usc.edu
D165Watts,PV,sacramento.usc.edu
D166Watts,PV,sacramento.usc.edu
D164Watts,PV,sacramento.usc.edu
D39Watts,PV,sacramento.usc.edu
D176Watts,PV,sacramento.usc.edu
D31Watts,PV,sacramento.usc.edu
D32Watts,PV,sacramento.usc.edu
D52Watts,PV,sacramento.usc.edu
D118Watts,PV,sacramento.usc.edu
BIE_TotalWatts,PV,sacramento.usc.edu
D33Watts,PV,sacramento.usc.edu
D98Watts,PV,sacramento.usc.edu
D21Watts,PV,sacramento.usc.edu
D160Watts,PV,sacramento.usc.edu
CAL_TotalWatts,PV,sacramento.usc.edu
D360Watts,PV,sacramento.usc.edu
D361Watts,PV,sacramento.usc.edu
D80Watts,PV,sacramento.usc.edu
D218Watts,PV,sacramento.usc.edu
D149Watts,PV,sacramento.usc.edu
D148Watts,PV,sacramento.usc.edu
D35Watts,PV,sacramento.usc.edu
D34Watts,PV,sacramento.usc.edu
D45Watts,PV,sacramento.usc.edu
D46Watts,PV,sacramento.usc.edu
D77Watts,PV,sacramento.usc.edu
D27Watts,PV,sacramento.usc.edu
D15Watts,PV,sacramento.usc.edu
D88Watts,PV,sacramento.usc.edu
D210Watts,PV,sacramento.usc.edu
D137Watts,PV,sacramento.usc.edu
D53Watts,PV,sacramento.usc.edu
D51Watts,PV,sacramento.usc.edu
D75Watts,PV,sacramento.usc.edu
D58Watts,PV,sacramento.usc.edu
D301Watts,PV,sacramento.usc.edu
D356Watts,PV,sacramento.usc.edu
D81Watts,PV,sacramento.usc.edu
D158Watts,PV,sacramento.usc.edu
D84Watts,PV,sacramento.usc.edu
D69Watts,PV,sacramento.usc.edu
D68Watts,PV,sacramento.usc.edu
D107Watts,PV,sacramento.usc.edu
D38Watts,PV,sacramento.usc.edu
D351Watts,PV,sacramento.usc.edu
D59Watts,PV,sacramento.usc.edu
D120Watts,PV,sacramento.usc.edu
D153Watts,PV,sacramento.usc.edu
D133Watts,PV,sacramento.usc.edu
D64Watts,PV,sacramento.usc.edu
D119Watts,PV,sacramento.usc.edu
D162Watts,PV,sacramento.usc.edu
D177Watts,PV,sacramento.usc.edu
D44Watts,PV,sacramento.usc.edu
D103Watts,PV,sacramento.usc.edu
D16Watts,PV,sacramento.usc.edu
D184Watts,PV,sacramento.usc.edu
D11Watts,PV,sacramento.usc.edu
JEF_TotalWatts,PV,sacramento.usc.edu
D22Watts,PV,sacramento.usc.edu
D125Watts,PV,sacramento.usc.edu
D1Watts,PV,sacramento.usc.edu
D55Watts,PV,sacramento.usc.edu
D54Watts,PV,sacramento.usc.edu
D303Watts,PV,sacramento.usc.edu
D304Watts,PV,sacramento.usc.edu
D302Watts,PV,sacramento.usc.edu
D9Watts,PV,sacramento.usc.edu
D284Watts,PV,sacramento.usc.edu
D140Watts,PV,sacramento.usc.edu
D139Watts,PV,sacramento.usc.edu
D145Watts,PV,sacramento.usc.edu
D144Watts,PV,sacramento.usc.edu
D37Watts,PV,sacramento.usc.edu
D2Watts,PV,sacramento.usc.edu
D65Watts,PV,sacramento.usc.edu
D36Watts,PV,sacramento.usc.edu
D76Watts,PV,sacramento.usc.edu
D3Watts,PV,sacramento.usc.edu
D325Watts,PV,sacramento.usc.edu
D154Watts,PV,sacramento.usc.edu
D74Watts,PV,sacramento.usc.edu
D49Watts,PV,sacramento.usc.edu
D19Watts,PV,sacramento.usc.edu
D23Watts,PV,sacramento.usc.edu
D150Watts,PV,sacramento.usc.edu
D57Watts,PV,sacramento.usc.edu
D56Watts,PV,sacramento.usc.edu
D132Watts,PV,sacramento.usc.edu
D85Watts,PV,sacramento.usc.edu
D240Watts,PV,sacramento.usc.edu
D126Watts,PV,sacramento.usc.edu
D63Watts,PV,sacramento.usc.edu
D28Watts,PV,sacramento.usc.edu
D129Watts,PV,sacramento.usc.edu
D130Watts,PV,sacramento.usc.edu
D330Watts,PV,sacramento.usc.edu
D62Watts,PV,sacramento.usc.edu
D61Watts,PV,sacramento.usc.edu
D6Watts,PV,sacramento.usc.edu
D71Watts,PV,sacramento.usc.edu
D82Watts,PV,sacramento.usc.edu
D87Watts,PV,sacramento.usc.edu
D282Watts,PV,sacramento.usc.edu
D283Watts,PV,sacramento.usc.edu
D20Watts,PV,sacramento.usc.edu
D327Watts,PV,sacramento.usc.edu
D328Watts,PV,sacramento.usc.edu
D167Watts,PV,sacramento.usc.edu
D117Watts,PV,sacramento.usc.edu
D332Watts,PV,sacramento.usc.edu
D333Watts,PV,sacramento.usc.edu
D127Watts,PV,sacramento.usc.edu
D170Watts,PV,sacramento.usc.edu
D335Watts,PV,sacramento.usc.edu
D336Watts,PV,sacramento.usc.edu
D337Watts,PV,sacramento.usc.edu
D60Watts,PV,sacramento.usc.edu
D339Watts,PV,sacramento.usc.edu
D152Watts,PV,sacramento.usc.edu
D338Watts,PV,sacramento.usc.edu
D47Watts,PV,sacramento.usc.edu
D48Watts,PV,sacramento.usc.edu
D18Watts,PV,sacramento.usc.edu
D147Watts,PV,sacramento.usc.edu
D146Watts,PV,sacramento.usc.edu
D155Watts,PV,sacramento.usc.edu
D135Watts,PV,sacramento.usc.edu
D136Watts,PV,sacramento.usc.edu
D134Watts,PV,sacramento.usc.edu
D131Watts,PV,sacramento.usc.edu
D99Watts,PV,sacramento.usc.edu
D93Watts,PV,sacramento.usc.edu
D138Watts,PV,sacramento.usc.edu
D311Watts,PV,sacramento.usc.edu
D205Watts,PV,sacramento.usc.edu
D24Watts,PV,sacramento.usc.edu
D86Watts,PV,sacramento.usc.edu
D420Watts,PV,sacramento.usc.edu
D14Watts,PV,sacramento.usc.edu
D17Watts,PV,sacramento.usc.edu
D116Watts,PV,sacramento.usc.edu
D114Watts,PV,sacramento.usc.edu
D89Watts,PV,sacramento.usc.edu
D90Watts,PV,sacramento.usc.edu
D124Watts,PV,sacramento.usc.edu
D79Watts,PV,sacramento.usc.edu
D78Watts,PV,sacramento.usc.edu
D8Watts,PV,sacramento.usc.edu
D102Watts,PV,sacramento.usc.edu
D143Watts,PV,sacramento.usc.edu
D142Watts,PV,sacramento.usc.edu
D163Watts,PV,sacramento.usc.edu
D104Watts,PV,sacramento.usc.edu
D105Watts,PV,sacramento.usc.edu
D106Watts,PV,sacramento.usc.edu
D165Watts,PV,sacramento.usc.edu
D166Watts,PV,sacramento.usc.edu
D164Watts,PV,sacramento.usc.edu
D39Watts,PV,sacramento.usc.edu
D176Watts,PV,sacramento.usc.edu
D31Watts,PV,sacramento.usc.edu
D32Watts,PV,sacramento.usc.edu
D52Watts,PV,sacramento.usc.edu
D118Watts,PV,sacramento.usc.edu
BIE_TotalWatts,PV,sacramento.usc.edu
D33Watts,PV,sacramento.usc.edu
D98Watts,PV,sacramento.usc.edu
D21Watts,PV,sacramento.usc.edu
D160Watts,PV,sacramento.usc.edu
CAL_TotalWatts,PV,sacramento.usc.edu
D360Watts,PV,sacramento.usc.edu
D361Watts,PV,sacramento.usc.edu
D80Watts,PV,sacramento.usc.edu
D218Watts,PV,sacramento.usc.edu
D149Watts,PV,sacramento.usc.edu
D148Watts,PV,sacramento.usc.edu
D35Watts,PV,sacramento.usc.edu
D34Watts,PV,sacramento.usc.edu
D45Watts,PV,sacramento.usc.edu
D46Watts,PV,sacramento.usc.edu
D77Watts,PV,sacramento.usc.edu
D27Watts,PV,sacramento.usc.edu
D15Watts,PV,sacramento.usc.edu
D88Watts,PV,sacramento.usc.edu
D210Watts,PV,sacramento.usc.edu
D137Watts,PV,sacramento.usc.edu
D53Watts,PV,sacramento.usc.edu
D51Watts,PV,sacramento.usc.edu
D75Watts,PV,sacramento.usc.edu
D58Watts,PV,sacramento.usc.edu
D301Watts,PV,sacramento.usc.edu
D356Watts,PV,sacramento.usc.edu
D81Watts,PV,sacramento.usc.edu
D158Watts,PV,sacramento.usc.edu
D84Watts,PV,sacramento.usc.edu
D69Watts,PV,sacramento.usc.edu
D68Watts,PV,sacramento.usc.edu
D107Watts,PV,sacramento.usc.edu
D38Watts,PV,sacramento.usc.edu
D351Watts,PV,sacramento.usc.edu
D59Watts,PV,sacramento.usc.edu
D120Watts,PV,sacramento.usc.edu
D153Watts,PV,sacramento.usc.edu
D133Watts,PV,sacramento.usc.edu
D64Watts,PV,sacramento.usc.edu
D119Watts,PV,sacramento.usc.edu
D162Watts,PV,sacramento.usc.edu
D177Watts,PV,sacramento.usc.edu
D44Watts,PV,sacramento.usc.edu
D103Watts,PV,sacramento.usc.edu
D16Watts,PV,sacramento.usc.edu
D184Watts,PV,sacramento.usc.edu
D11Watts,PV,sacramento.usc.edu
JEF_TotalWatts,PV,sacramento.usc.edu
D22Watts,PV,sacramento.usc.edu
D125Watts,PV,sacramento.usc.edu
D1Watts,PV,sacramento.usc.edu
D55Watts,PV,sacramento.usc.edu
D54Watts,PV,sacramento.usc.edu
D303Watts,PV,sacramento.usc.edu
D304Watts,PV,sacramento.usc.edu
D302Watts,PV,sacramento.usc.edu
D9Watts,PV,sacramento.usc.edu
D284Watts,PV,sacramento.usc.edu
D140Watts,PV,sacramento.usc.edu
D139Watts,PV,sacramento.usc.edu
D145Watts,PV,sacramento.usc.edu
D144Watts,PV,sacramento.usc.edu
D37Watts,PV,sacramento.usc.edu
D2Watts,PV,sacramento.usc.edu
D65Watts,PV,sacramento.usc.edu
D36Watts,PV,sacramento.usc.edu
D76Watts,PV,sacramento.usc.edu
D3Watts,PV,sacramento.usc.edu
D325Watts,PV,sacramento.usc.edu
D154Watts,PV,sacramento.usc.edu
D74Watts,PV,sacramento.usc.edu
D49Watts,PV,sacramento.usc.edu
D19Watts,PV,sacramento.usc.edu
D23Watts,PV,sacramento.usc.edu
D150Watts,PV,sacramento.usc.edu
D57Watts,PV,sacramento.usc.edu
D56Watts,PV,sacramento.usc.edu
D132Watts,PV,sacramento.usc.edu
D85Watts,PV,sacramento.usc.edu
D240Watts,PV,sacramento.usc.edu
D126Watts,PV,sacramento.usc.edu
D63Watts,PV,sacramento.usc.edu
D28Watts,PV,sacramento.usc.edu
D129Watts,PV,sacramento.usc.edu
D130Watts,PV,sacramento.usc.edu
D330Watts,PV,sacramento.usc.edu
D62Watts,PV,sacramento.usc.edu
D61Watts,PV,sacramento.usc.edu
D6Watts,PV,sacramento.usc.edu
D71Watts,PV,sacramento.usc.edu
D82Watts,PV,sacramento.usc.edu
D87Watts,PV,sacramento.usc.edu
D282Watts,PV,sacramento.usc.edu
D283Watts,PV,sacramento.usc.edu
D20Watts,PV,sacramento.usc.edu
D327Watts,PV,sacramento.usc.edu
D328Watts,PV,sacramento.usc.edu
D167Watts,PV,sacramento.usc.edu
D117Watts,PV,sacramento.usc.edu
D332Watts,PV,sacramento.usc.edu
D333Watts,PV,sacramento.usc.edu
D127Watts,PV,sacramento.usc.edu
D170Watts,PV,sacramento.usc.edu
D335Watts,PV,sacramento.usc.edu
D336Watts,PV,sacramento.usc.edu
D337Watts,PV,sacramento.usc.edu
D60Watts,PV,sacramento.usc.edu
D339Watts,PV,sacramento.usc.edu
D152Watts,PV,sacramento.usc.edu
D338Watts,PV,sacramento.usc.edu
D47Watts,PV,sacramento.usc.edu
D48Watts,PV,sacramento.usc.edu
D18Watts,PV,sacramento.usc.edu
D147Watts,PV,sacramento.usc.edu
D146Watts,PV,sacramento.usc.edu
D155Watts,PV,sacramento.usc.edu
D135Watts,PV,sacramento.usc.edu
D136Watts,PV,sacramento.usc.edu
D134Watts,PV,sacramento.usc.edu
D131Watts,PV,sacramento.usc.edu
D99Watts,PV,sacramento.usc.edu
D93Watts,PV,sacramento.usc.edu
D138Watts,PV,sacramento.usc.edu
D311Watts,PV,sacramento.usc.edu
D205Watts,PV,sacramento.usc.edu
D24Watts,PV,sacramento.usc.edu
D86Watts,PV,sacramento.usc.edu
D420Watts,PV,sacramento.usc.edu
D14Watts,PV,sacramento.usc.edu
D17Watts,PV,sacramento.usc.edu
D116Watts,PV,sacramento.usc.edu
D114Watts,PV,sacramento.usc.edu
D89Watts,PV,sacramento.usc.edu
D90Watts,PV,sacramento.usc.edu
D124Watts,PV,sacramento.usc.edu
D79Watts,PV,sacramento.usc.edu
D78Watts,PV,sacramento.usc.edu
D8Watts,PV,sacramento.usc.edu
D102Watts,PV,sacramento.usc.edu
D143Watts,PV,sacramento.usc.edu
D142Watts,PV,sacramento.usc.edu
D163Watts,PV,sacramento.usc.edu
D104Watts,PV,sacramento.usc.edu
D105Watts,PV,sacramento.usc.edu
D106Watts,PV,sacramento.usc.edu
D165Watts,PV,sacramento.usc.edu
D166Watts,PV,sacramento.usc.edu
D164Watts,PV,sacramento.usc.edu
D39Watts,PV,sacramento.usc.edu
D176Watts,PV,sacramento.usc.edu
D31Watts,PV,sacramento.usc.edu
D32Watts,PV,sacramento.usc.edu
D52Watts,PV,sacramento.usc.edu
D118Watts,PV,sacramento.usc.edu
BIE_TotalWatts,PV,sacramento.usc.edu
D33Watts,PV,sacramento.usc.edu
D98Watts,PV,sacramento.usc.edu
D21Watts,PV,sacramento.usc.edu
D160Watts,PV,sacramento.usc.edu
CAL_TotalWatts,PV,sacramento.usc.edu
D360Watts,PV,sacramento.usc.edu
D361Watts,PV,sacramento.usc.edu
D80Watts,PV,sacramento.usc.edu
D218Watts,PV,sacramento.usc.edu
D149Watts,PV,sacramento.usc.edu
D148Watts,PV,sacramento.usc.edu
D35Watts,PV,sacramento.usc.edu
D34Watts,PV,sacramento.usc.edu
D45Watts,PV,sacramento.usc.edu
D46Watts,PV,sacramento.usc.edu
D77Watts,PV,sacramento.usc.edu
D27Watts,PV,sacramento.usc.edu
D15Watts,PV,sacramento.usc.edu
D88Watts,PV,sacramento.usc.edu
D210Watts,PV,sacramento.usc.edu
D137Watts,PV,sacramento.usc.edu
D53Watts,PV,sacramento.usc.edu
D51Watts,PV,sacramento.usc.edu
D75Watts,PV,sacramento.usc.edu
D58Watts,PV,sacramento.usc.edu
D301Watts,PV,sacramento.usc.edu
D356Watts,PV,sacramento.usc.edu
D81Watts,PV,sacramento.usc.edu
D158Watts,PV,sacramento.usc.edu
D84Watts,PV,sacramento.usc.edu
D69Watts,PV,sacramento.usc.edu
D68Watts,PV,sacramento.usc.edu
D107Watts,PV,sacramento.usc.edu
D38Watts,PV,sacramento.usc.edu
D351Watts,PV,sacramento.usc.edu
D59Watts,PV,sacramento.usc.edu
D120Watts,PV,sacramento.usc.edu
D153Watts,PV,sacramento.usc.edu
D133Watts,PV,sacramento.usc.edu
D64Watts,PV,sacramento.usc.edu
D119Watts,PV,sacramento.usc.edu
D162Watts,PV,sacramento.usc.edu
D177Watts,PV,sacramento.usc.edu
D44Watts,PV,sacramento.usc.edu
D103Watts,PV,sacramento.usc.edu
D16Watts,PV,sacramento.usc.edu
D184Watts,PV,sacramento.usc.edu
D11Watts,PV,sacramento.usc.edu
JEF_TotalWatts,PV,sacramento.usc.edu
D22Watts,PV,sacramento.usc.edu
D125Watts,PV,sacramento.usc.edu
D1Watts,PV,sacramento.usc.edu
D55Watts,PV,sacramento.usc.edu
D54Watts,PV,sacramento.usc.edu
D303Watts,PV,sacramento.usc.edu
D304Watts,PV,sacramento.usc.edu
D302Watts,PV,sacramento.usc.edu
D9Watts,PV,sacramento.usc.edu
D284Watts,PV,sacramento.usc.edu
D140Watts,PV,sacramento.usc.edu
D139Watts,PV,sacramento.usc.edu
D145Watts,PV,sacramento.usc.edu
D144Watts,PV,sacramento.usc.edu
D37Watts,PV,sacramento.usc.edu
D2Watts,PV,sacramento.usc.edu
D65Watts,PV,sacramento.usc.edu
D36Watts,PV,sacramento.usc.edu
D76Watts,PV,sacramento.usc.edu
D3Watts,PV,sacramento.usc.edu
D325Watts,PV,sacramento.usc.edu
D154Watts,PV,sacramento.usc.edu
D74Watts,PV,sacramento.usc.edu
D49Watts,PV,sacramento.usc.edu
D19Watts,PV,sacramento.usc.edu
D23Watts,PV,sacramento.usc.edu
D150Watts,PV,sacramento.usc.edu
